addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
경상북도 경주시 양남면 동해안로 494,,35,0,A01,A0101,A01011100,2614515,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/10/2614510_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/10/2614510_image2_1.bmp,Type3,129.4737408,35.68673767,6,2.02E+13,2,,양남 주상절리군 (경북 동해안 국가지질공원),38219
전라남도 진도군 조도면 가사도길 42-204,,38,0,A01,A0101,A01011300,129227,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/43/190443_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/190443_image3_1.jpg,Type3,126.1048286,34.49372948,6,2.02E+13,21,,양덕도(발가락섬),58953
경상북도 울진군 온정면 온정3길 84,,35,0,A02,A0203,A02030100,128436,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/01/1979201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1979201_image3_1.jpg,Type3,129.3444501,36.70848609,6,2.02E+13,18,,양떡마을 음떡마을,36359
전북특별자치도 정읍시 산내면 종성리 516-1,,37,,A02,A0203,A02030100,3082730,12,2.02E+11,http://tong.visitkorea.or.kr/cms/resource/25/3082725_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/25/3082725_image3_1.JPG,Type3,127.0924407,35.53309804,6,2.02E+13,13,,양떼목장임실치즈마을,56126
강원특별자치도 양양군 현남면 인구리,643,32,,A02,A0203,A02030600,3041749,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/44/3041744_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3041744_image3_1.jpg,Type3,128.7619971,37.96895478,6,2.02E+13,7,,양리단길,25053
광주광역시 남구 제중로 77,(양림동),5,0,A02,A0201,A02010900,127071,12,2.00E+13,,,,126.9114889,35.1404505,6,2.02E+13,2,,양림동 선교사 묘지,61642
광주광역시 남구 오기원길 20-13,,5,0,A02,A0203,A02030600,2603494,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/84/2386684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2386684_image3_1.jpg,Type3,126.916419,35.14008951,6,2.02E+13,2,,양림동 펭귄마을공예거리,61662
광주광역시 남구 양림동 225-25(호랑가시나무아트폴리곤),,5,0,A01,A0102,A01020100,127078,12,2.00E+13,http://tong.visitkorea.or.kr/cms/resource/59/2675659_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/2675659_image2_1.JPG,Type3,126.9120917,35.13809244,6,2.02E+13,2,,양림동 호랑가시나무길,61643
광주광역시 남구 서서평길 7,,5,0,A02,A0201,A02010600,2524187,12,2.02E+13,,,,126.9135192,35.14519444,6,2.02E+13,2,,양림역사문화마을,61640
충청북도 단양군 단양읍 양방산길 350,(단양읍),33,0,A02,A0205,A02050600,1626685,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/66/3064066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3064066_image3_1.jpg,Type3,128.3820226,36.96836578,6,2.02E+13,2,,양방산전망대,27024
